WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,DTar,Job
,0,1988,16,TB,507,17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,288,440,288,11,3527,3356,6204,5887,2848,24,97.8,25.9,8,12.2,10.2,207.5,2360,3527,11,24,68,87,87,62,42,21,53,8,142,21,12,3,399,131,27,81,35,133,,,50,390,843,84,21,105,27,1,7,13,1,0,0,2,97,753,102,4439,35,33,229,0,90,1785,0,0,5,7,10,4,0,5,6,7,2,26,20,36,35,12,0,0,,0,,0,,0,,0,,4.2,8,65.5,12.2,76.9,97.2,43.5,6.9,19.8,33.3,138.8,17.7,16.9,207.5,42.4,95,311,313,480,18,4,100,40,11,122,40,11,122,389,1062,0,Special Teams Coach
,0,1989,16,TB,507,17,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,376,561,376,10,4062,3558,6314,6062,2756,37,102.7,33,7.2,10.8,7.1,238.9,2000,4062,13,37,51,73,73,65,95,17,55,13,103,21,10,51,460,99,22,91,23,150,,,43,306,842,71,48,109,34,0,20,22,0,0,0,0,105,895,101,4515,33,30,211,0,77,1911,1,1,5,7,8,5,1,4,5,8,4,26,22,49,47,15,0,0,,0,,0,,0,,0,,4.2,7.2,67,10.8,84.6,95.9,44.7,7,24.8,27.9,117.6,20,22.1,238.9,35.1,113,419,423,397,13,3,95,49,9,132,49,9,132,387,1196,0,Special Teams Coach
,0,1990,16,TB,507,17,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,400,563,400,8,4567,4013,6183,7025,2170,39,112.3,33.1,8.1,11.4,5.7,268.6,2458,4567,23,39,45,71,71,67,35,55,53,7,104,13,8,57,523,116,17,84,15,132,,,34,235,819,69,25,112,30,0,21,18,2,0,0,0,122,913,71,3304,29,30,133,1,90,1892,0,2,9,7,11,4,2,8,6,7,2,33,25,58,55,18,0,0,,0,,0,,0,,0,,4.5,8.1,71,11.4,75.8,94.8,46.5,4.4,21,31.8,144.6,21.1,23.5,268.6,43.5,130,520,528,475,11,5,114,46,13,174,46,13,174,414,570,626,Special Teams Coach
,0,1991,16,TB,507,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,1988,10,IND,2248,17,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,282,453,282,15,3125,3550,6028,5663,2478,23,85.8,26.6,6.9,11.1,3.2,183.8,2538,3125,18,23,49,65,65,68,103,64,51,6,77,3,2,25,482,82,18,50,9,98,,,15,94,771,85,63,60,42,0,12,6,0,0,0,0,97,818,74,3437,32,38,355,0,72,1711,2,2,7,16,6,3,2,7,15,5,3,34,32,42,41,18,0,0,,0,,0,,0,,0,,4.4,6.9,62.3,11.1,94.1,97.6,46.4,9.3,23.8,33.7,149.3,20.9,16.6,183.8,47.5,137,395,397,429,13,1,120,29,8,134,29,8,134,322,898,0,LB Coach
,0,1989,10,IND,2248,17,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,306,528,306,23,3755,3506,5219,5850,1713,26,78.3,31.1,7.1,12.3,4.3,220.9,2095,3755,19,26,61,56,56,69,36,52,50,6,137,6,3,22,516,46,14,62,9,82,,,24,164,761,78,96,69,74,5,19,12,1,0,0,0,78,707,81,3865,34,39,306,0,56,1211,0,3,7,8,11,1,3,7,8,8,1,30,27,45,45,26,0,0,,0,,0,,0,,0,,4.4,7.1,58,12.3,90,100,47.7,7.8,21.6,28.2,123.2,21.7,18,220.9,45.1,126,402,414,322,12,2,104,52,10,138,52,10,138,389,1105,0,LB Coach
,0,1990,10,IND,2248,17,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,257,448,257,14,3384,4021,5850,5803,1829,30,90.7,26.4,7.6,13.2,6.3,199.1,2419,3384,20,30,76,56,56,71,42,64,51,11,187,6,4,17,497,76,22,70,13,94,,,30,218,839,81,64,85,63,0,19,12,2,0,0,0,102,840,81,3954,33,30,287,0,75,1570,0,2,6,11,13,6,2,4,11,8,3,38,28,49,49,23,0,0,,0,,0,,0,,0,,4.4,7.6,57.4,13.2,73.7,100,48.8,9.6,20.9,32.3,142.3,18.6,15.1,199.1,43.6,133,445,451,390,19,6,102,48,8,112,48,8,112,410,447,597,LB Coach
,0,1991,10,IND,2248,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,1988,2,MIA,3535,17,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,323,469,323,10,4011,3099,5703,5994,2604,36,111.8,27.6,8.6,12.4,5.8,235.9,1983,4011,16,36,75,72,72,62,34,17,47,7,150,18,8,15,400,119,11,67,7,99,,,29,220,835,108,30,79,36,1,15,17,1,0,0,0,98,851,77,3581,31,26,60,0,72,1435,0,1,5,7,6,2,1,4,4,6,0,21,15,49,49,17,0,0,,0,,0,,0,,0,,4.3,8.6,68.9,12.4,71.4,100,46.5,2.3,19.9,27.4,116.6,17.8,19,235.9,42.7,94,412,420,386,15,4,83,51,15,138,51,15,138,348,1016,0,DB Coach
,0,1989,2,MIA,3535,17,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,389,580,389,14,4514,3817,5922,5975,2105,33,99.3,34.1,7.8,11.6,8.1,265.5,1461,4514,12,33,57,77,77,54,35,18,52,13,182,6,2,37,503,93,20,73,20,136,,,51,427,784,55,51,85,48,0,16,11,2,0,0,0,104,875,86,3567,25,28,167,0,68,1439,0,2,5,5,14,9,2,4,5,9,4,35,24,46,45,16,0,0,,0,,0,,0,,0,,3.7,7.8,67.1,11.6,68.6,97.8,41.5,6,21.2,23.5,85.9,16.5,22.9,265.5,44.5,117,399,401,383,5,2,66,56,16,173,56,16,173,411,1239,0,DB Coach
